Date,Open,High,Low,Close,Volume
01/03/1995,"11.733","11.733","11.467","11.733","5,102,625"
01/04/1995,"11.600","11.867","11.467","11.600","4,943,250"
01/05/1995,"11.333","11.600","11.200","11.333","6,898,687"
01/06/1995,"11.333","11.600","11.067","11.333","4,454,625"
01/09/1995,"11.067","11.467","10.933","11.067","4,107,187"
01/10/1995,"10.667","10.933","10.400","10.667","10,530,000"
01/13/1995,"10.000","10.533","9.867","10.000","14,093,437"
01/16/1995,"10.133","10.267","9.867","10.133","17,115,562"
01/17/1995,"10.400","10.533","10.267","10.400","7,110,187"
01/18/1995,"10.133","10.400","10.133","10.133","5,103,187"
01/19/1995,"10.000","10.267","10.000","10.000","7,700,625"
01/20/1995,"9.467","10.133","9.333","9.467","18,862,500"
01/23/1995,"9.067","9.467","8.267","9.067","9,162,000"
01/24/1995,"8.533","8.933","8.400","8.533","18,972,750"
01/25/1995,"9.200","9.200","8.533","9.200","31,283,064"
01/26/1995,"9.333","9.600","9.333","9.333","19,175,625"
01/27/1995,"9.200","9.467","9.067","9.200","9,914,812"
01/30/1995,"9.200","9.333","9.067","9.200","8,451,375"
02/01/1995,"9.867","9.867","9.333","9.867","20,469,375"
02/02/1995,"9.867","10.133","9.867","9.867","17,857,125"
02/03/1995,"10.400","10.400","10.000","10.400","13,859,625"
02/06/1995,"10.933","10.933","10.533","10.933","21,411,562"
02/07/1995,"10.933","11.067","10.667","10.933","22,761,000"
02/08/1995,"10.533","10.800","10.533","10.533","4,564,312"
02/09/1995,"10.800","10.800","10.400","10.800","6,489,000"
02/10/1995,"11.200","11.333","10.667","11.200","20,392,875"
02/14/1995,"11.200","11.333","11.067","11.200","15,640,687"
02/15/1995,"11.067","11.467","10.800","11.067","19,322,250"
02/16/1995,"11.067","11.200","10.933","11.067","11,973,375"
02/17/1995,"10.667","10.933","10.533","10.667","13,519,312"
02/20/1995,"10.667","10.667","10.400","10.667","12,178,687"
02/21/1995,"10.400","10.800","10.400","10.400","12,928,125"
02/22/1995,"10.533","10.667","10.400","10.533","10,732,687"
02/23/1995,"10.533","10.667","10.533","10.533","10,233,750"
02/24/1995,"10.267","10.533","10.267","10.267","15,794,625"
02/28/1995,"9.867","10.133","9.600","9.867","19,767,750"
03/01/1995,"9.600","10.000","9.600","9.600","11,313,000"
03/02/1995,"9.600","9.867","9.600","9.600","7,196,437"
03/06/1995,"9.333","9.733","9.333","9.333","13,886,250"
03/07/1995,"9.467","9.600","9.467","9.467","13,858,500"
03/08/1995,"9.333","9.333","9.067","9.333","16,244,437"
03/09/1995,"9.067","9.333","9.067","9.067","9,689,812"
03/10/1995,"8.933","9.200","8.800","8.933","16,902,562"
03/14/1995,"8.667","8.933","8.667","8.667","9,760,312"
03/16/1995,"9.067","9.200","8.667","9.067","20,011,687"
03/20/1995,"9.333","9.600","9.200","9.333","12,179,625"
03/22/1995,"9.067","9.200","8.933","9.067","10,382,062"
03/23/1995,"9.067","9.200","8.933","9.067","7,594,125"
03/24/1995,"9.200","9.200","8.933","9.200","5,004,937"
03/28/1995,"9.467","9.467","9.067","9.467","7,159,125"
03/29/1995,"9.467","9.600","9.333","9.467","17,893,125"
03/30/1995,"9.733","9.867","9.467","9.733","19,767,937"
03/31/1995,"9.867","9.867","9.733","9.867","13,090,687"
04/03/1995,"9.467","9.733","9.467","9.467","9,051,937"
04/04/1995,"10.000","10.000","9.333","10.000","11,085,000"
04/05/1995,"9.867","10.000","9.733","9.867","9,495,375"
04/07/1995,"9.867","10.133","9.867","9.867","6,987,937"
04/10/1995,"10.000","10.000","9.733","10.000","5,386,312"
04/11/1995,"10.133","10.267","9.867","10.133","6,753,187"
04/12/1995,"10.133","10.267","10.000","10.133","5,597,062"
04/18/1995,"9.733","10.000","9.733","9.733","12,548,812"
04/19/1995,"9.733","9.867","9.600","9.733","9,613,875"
04/21/1995,"9.867","10.000","9.733","9.867","6,494,812"
04/24/1995,"10.000","10.000","9.733","10.000","4,218,937"
04/25/1995,"9.733","9.867","9.600","9.733","9,188,812"
04/26/1995,"9.467","9.733","9.467","9.467","5,282,812"
