Date,Open,High,Low,Close,Volume
10/06/2011,"11.20","11.20","10.68","10.68","28,051,301"
10/07/2011,"10.74","10.98","10.74","10.96","6,454,800"
10/10/2011,"11.02","11.60","11.02","11.60","17,731,900"
10/11/2011,"11.80","11.82","11.34","11.36","12,181,500"
10/12/2011,"11.36","11.68","11.30","11.60","1,351,800"
10/13/2011,"11.52","12.36","11.52","12.36","4,896,100"
10/14/2011,"12.30","12.40","12.00","12.10","7,294,000"
10/17/2011,"12.20","12.46","12.10","12.38","6,994,900"
10/18/2011,"12.38","12.38","12.12","12.26","7,236,600"
10/19/2011,"12.24","12.26","12.20","12.20","8,274,100"
10/20/2011,"12.22","12.30","12.20","12.20","4,007,000"
10/21/2011,"12.24","12.34","12.20","12.30","4,269,500"
10/24/2011,"12.34","12.34","12.20","12.20","14,370,500"
10/25/2011,"12.16","12.32","12.16","12.32","3,730,900"
10/26/2011,"12.18","12.24","12.16","12.16","1,404,600"
10/27/2011,"12.14","12.24","12.14","12.22","416,100"
10/28/2011,"12.26","12.50","12.26","12.38","11,311,200"
11/02/2011,"12.26","12.58","12.26","12.58","6,529,900"
11/03/2011,"12.60","12.76","12.50","12.74","13,131,000"
11/04/2011,"12.76","14.48","12.76","14.48","17,613,301"
11/08/2011,"14.46","15.94","14.10","15.50","10,609,200"
11/09/2011,"15.70","15.70","14.30","14.80","5,581,800"
11/10/2011,"14.30","15.00","14.10","14.94","6,590,600"
11/11/2011,"14.94","15.00","14.34","14.56","1,544,600"
11/14/2011,"14.50","15.20","14.50","14.68","727,200"
11/15/2011,"14.68","15.16","14.40","14.80","8,558,400"
11/16/2011,"14.92","16.20","14.80","15.52","17,248,000"
11/17/2011,"15.52","17.06","15.52","16.32","6,602,900"
11/18/2011,"16.32","17.10","16.30","16.60","9,489,500"
11/21/2011,"17.10","17.10","16.60","16.82","5,792,100"
11/22/2011,"16.50","16.82","16.02","16.16","4,833,800"
11/23/2011,"16.16","16.50","14.98","14.98","10,519,400"
11/24/2011,"14.94","15.00","14.68","14.72","7,055,600"
11/25/2011,"14.72","15.52","14.72","15.36","3,087,500"
11/28/2011,"15.40","15.68","15.36","15.40","1,545,200"
11/29/2011,"15.62","15.62","15.02","15.30","354,700"
