Date,Open,High,Low,Close,Volume
12/15/2016,"12.00","12.36","11.66","12.10","49,585,199"
12/16/2016,"12.16","12.26","11.78","12.24","21,287,500"
12/19/2016,"12.24","12.24","11.88","11.98","7,482,500"
12/20/2016,"11.98","11.98","11.50","11.58","13,615,300"
12/21/2016,"11.62","11.82","11.62","11.70","6,161,600"
12/22/2016,"11.70","11.70","11.24","11.24","8,418,900"
12/23/2016,"11.24","11.26","10.90","11.20","4,136,300"
12/27/2016,"11.22","11.34","11.22","11.30","1,212,100"
12/28/2016,"11.32","11.40","11.28","11.30","2,431,200"
12/29/2016,"11.30","11.68","11.20","11.50","10,836,500"
01/03/2017,"11.58","11.58","11.38","11.48","727,600"
01/04/2017,"11.48","11.90","11.48","11.68","3,234,700"
01/05/2017,"11.76","11.76","11.60","11.68","2,812,300"
01/06/2017,"11.76","11.76","11.56","11.66","4,044,200"
01/09/2017,"11.60","11.68","11.54","11.66","1,845,800"
01/10/2017,"11.66","11.92","11.50","11.50","10,208,300"
01/11/2017,"11.60","11.92","11.54","11.68","7,567,100"
01/12/2017,"11.70","11.84","11.60","11.60","4,263,700"
01/13/2017,"11.68","11.76","11.62","11.76","2,320,300"
01/16/2017,"11.76","12.48","11.76","12.28","19,390,900"
01/17/2017,"12.28","12.60","12.14","12.40","6,026,200"
01/18/2017,"12.36","12.36","11.96","12.00","4,678,200"
01/19/2017,"12.20","12.36","12.10","12.24","3,820,700"
01/20/2017,"12.24","12.66","12.24","12.56","7,443,300"
01/23/2017,"12.60","12.60","12.32","12.38","2,835,900"
01/24/2017,"12.40","12.56","12.30","12.36","6,369,400"
01/25/2017,"12.38","12.80","12.34","12.60","8,032,900"
01/26/2017,"12.76","12.88","12.56","12.70","5,311,900"
01/27/2017,"12.80","12.98","12.66","12.90","5,854,200"
01/30/2017,"12.96","13.00","12.80","12.82","1,024,000"
01/31/2017,"12.70","12.82","12.58","12.82","4,047,800"
02/01/2017,"12.82","12.94","12.68","12.90","1,585,600"
02/02/2017,"12.90","13.12","12.84","12.86","4,512,200"
02/03/2017,"12.84","12.86","12.64","12.70","3,498,400"
02/06/2017,"12.70","12.86","12.60","12.76","3,980,100"
02/07/2017,"12.76","12.76","12.66","12.66","2,269,900"
02/08/2017,"12.66","12.66","12.24","12.28","6,308,700"
02/09/2017,"12.28","12.46","12.26","12.36","1,017,500"
02/10/2017,"12.48","12.48","12.20","12.36","521,900"
02/13/2017,"12.36","12.50","12.30","12.30","554,300"
02/14/2017,"12.32","12.78","12.32","12.70","3,610,600"
02/15/2017,"12.70","12.84","12.66","12.68","2,043,400"
02/16/2017,"12.68","12.68","12.56","12.60","380,700"
02/17/2017,"12.60","12.70","12.50","12.68","2,242,300"
02/20/2017,"12.68","12.72","12.54","12.70","251,300"
02/21/2017,"12.72","12.72","12.58","12.64","342,400"
02/22/2017,"12.64","12.68","12.10","12.10","4,990,300"
02/23/2017,"12.08","12.30","12.00","12.20","3,796,500"
02/24/2017,"12.20","12.28","12.06","12.10","1,775,700"
02/27/2017,"12.20","12.40","12.18","12.28","5,378,200"
