Date,Open,High,Low,Close,Volume
01/03/1995,"0.928","0.935","0.928","0.928","685,820"
01/04/1995,"0.905","0.928","0.905","0.905","1,176,406"
01/05/1995,"0.890","0.898","0.883","0.890","755,903"
01/06/1995,"0.868","0.883","0.868","0.868","760,909"
01/09/1995,"0.860","0.875","0.860","0.860","2,535,530"
01/10/1995,"0.831","0.846","0.831","0.831","2,387,854"
01/11/1995,"0.831","0.831","0.823","0.831","936,119"
01/13/1995,"0.823","0.846","0.823","0.823","1,556,861"
01/16/1995,"0.816","0.823","0.816","0.816","1,979,866"
01/17/1995,"0.823","0.823","0.823","0.823","433,018"
01/18/1995,"0.838","0.846","0.823","0.838","4,104,906"
01/23/1995,"0.823","0.838","0.748","0.823","2,155,076"
01/24/1995,"0.793","0.801","0.793","0.793","2,783,326"
01/25/1995,"0.778","0.801","0.778","0.778","4,718,139"
01/26/1995,"0.778","0.786","0.778","0.778","12,337,245"
01/27/1995,"0.763","0.778","0.763","0.763","1,912,285"
01/30/1995,"0.778","0.778","0.748","0.778","8,349,979"
02/01/1995,"0.778","0.778","0.756","0.778","6,007,179"
02/02/1995,"0.793","0.793","0.748","0.793","6,365,107"
02/03/1995,"0.838","0.838","0.801","0.838","1,927,303"
02/06/1995,"0.868","0.875","0.846","0.868","12,101,963"
02/07/1995,"0.868","0.868","0.853","0.868","5,744,365"
02/08/1995,"0.846","0.846","0.823","0.846","906,083"
02/10/1995,"0.846","0.860","0.846","0.846","2,472,955"
02/14/1995,"0.860","0.860","0.838","0.860","1,601,914"
02/15/1995,"0.846","0.860","0.846","0.846","943,628"
02/16/1995,"0.838","0.853","0.838","0.838","810,969"
02/17/1995,"0.823","0.838","0.756","0.823","1,071,280"
02/20/1995,"0.831","0.846","0.831","0.831","1,301,556"
02/21/1995,"0.838","0.853","0.816","0.838","3,171,290"
02/22/1995,"0.846","0.846","0.846","0.846","580,694"
02/24/1995,"0.838","0.853","0.838","0.838","3,341,493"
02/27/1995,"0.793","0.823","0.786","0.793","1,654,477"
02/28/1995,"0.831","0.831","0.801","0.831","1,018,717"
03/01/1995,"0.816","0.823","0.816","0.816","1,932,309"
03/02/1995,"0.816","0.823","0.801","0.816","262,814"
03/06/1995,"0.816","0.831","0.808","0.816","1,639,459"
03/07/1995,"0.808","0.823","0.434","0.808","4,097,397"
03/08/1995,"0.816","0.823","0.808","0.816","3,701,924"
03/10/1995,"0.801","0.808","0.786","0.801","2,079,986"
03/14/1995,"0.808","0.823","0.808","0.808","2,062,465"
03/15/1995,"0.808","0.823","0.808","0.808","1,143,867"
03/16/1995,"0.816","0.816","0.808","0.816","1,489,280"
03/20/1995,"0.816","0.823","0.816","0.816","1,301,556"
03/22/1995,"0.816","0.816","0.808","0.816","1,687,016"
03/23/1995,"0.808","0.816","0.808","0.808","1,173,903"
03/24/1995,"0.816","0.816","0.808","0.816","983,676"
03/28/1995,"0.793","0.808","0.786","0.793","1,041,244"
03/29/1995,"0.816","0.816","0.793","0.816","1,181,412"
03/30/1995,"0.816","0.823","0.816","0.816","1,869,735"
03/31/1995,"0.868","0.875","0.831","0.868","4,668,079"
04/03/1995,"0.898","0.928","0.875","0.898","3,026,117"
04/04/1995,"0.905","0.928","0.890","0.905","2,004,896"
04/05/1995,"0.883","0.898","0.883","0.883","2,240,177"
04/07/1995,"0.905","0.905","0.898","0.905","1,264,011"
04/10/1995,"0.954","0.954","0.905","0.954","4,380,235"
04/11/1995,"0.920","0.935","0.920","0.920","4,037,325"
04/12/1995,"0.935","0.954","0.920","0.935","2,730,764"
04/18/1995,"0.935","0.954","0.928","0.935","2,725,758"
04/19/1995,"0.928","0.935","0.928","0.928","2,700,728"
04/21/1995,"0.905","0.928","0.905","0.905","765,915"
04/24/1995,"0.905","0.913","0.905","0.905","1,912,285"
04/25/1995,"0.875","0.883","0.875","0.875","1,702,034"
04/26/1995,"0.883","0.883","0.875","0.883","317,880"
04/27/1995,"0.890","0.890","0.868","0.890","4,062,355"
04/28/1995,"0.890","0.890","0.883","0.890","528,131"
05/02/1995,"0.868","0.875","0.860","0.868","713,353"
05/03/1995,"0.898","0.898","0.868","0.898","4,190,008"
05/04/1995,"0.890","0.898","0.890","0.890","1,091,304"
05/05/1995,"0.905","0.905","0.898","0.905","1,624,441"
05/15/1995,"0.875","0.890","0.875","0.875","1,939,818"
