Date,Open,High,Low,Close,Volume
01/03/1995,"3.30","3.38","3.23","3.30","1,864,279"
01/04/1995,"3.26","3.30","3.23","3.26","2,180,634"
01/05/1995,"3.23","3.26","3.23","3.23","2,720,910"
01/06/1995,"3.23","3.26","3.19","3.23","406,184"
01/09/1995,"3.00","3.15","3.00","3.00","824,084"
01/10/1995,"3.00","3.07","3.00","3.00","26,037"
01/11/1995,"3.00","3.00","3.00","3.00","2,604"
01/13/1995,"2.92","2.96","2.92","2.92","222,620"
01/16/1995,"2.84","2.84","2.84","2.84","36,452"
01/17/1995,"2.88","2.88","2.84","2.88","541,578"
01/18/1995,"2.92","2.92","2.88","2.92","1,027,176"
01/23/1995,"2.84","2.84","2.84","2.84","1,536,208"
01/24/1995,"2.77","2.84","2.77","2.77","951,668"
01/25/1995,"2.77","2.77","2.73","2.77","3,612,692"
01/26/1995,"2.77","2.77","2.77","2.77","3,263,790"
01/27/1995,"2.77","2.77","2.77","2.77","2,826,362"
01/30/1995,"2.73","2.84","2.73","2.73","350,203"
02/01/1995,"2.84","2.84","2.84","2.84","378,844"
02/02/1995,"2.84","2.88","2.84","2.84","299,430"
02/07/1995,"2.88","2.88","2.88","2.88","46,867"
02/08/1995,"2.92","2.92","2.92","2.92","169,243"
02/10/1995,"2.84","2.88","2.84","2.84","933,441"
02/14/1995,"2.65","2.73","2.65","2.65","440,032"
02/15/1995,"2.50","2.61","2.42","2.50","1,616,924"
02/16/1995,"2.65","2.65","2.53","2.65","346,298"
02/17/1995,"2.57","2.61","2.53","2.57","628,804"
02/20/1995,"2.61","2.61","2.57","2.61","110,659"
02/21/1995,"2.65","2.65","2.61","2.65","240,846"
02/22/1995,"2.65","2.69","2.65","2.65","166,639"
02/24/1995,"2.57","2.57","2.57","2.57","1,302"
02/27/1995,"2.53","2.57","2.42","2.53","268,185"
02/28/1995,"2.50","2.50","2.50","2.50","54,679"
03/01/1995,"2.46","2.53","2.46","2.46","84,622"
03/02/1995,"2.46","2.50","2.46","2.46","78,112"
03/06/1995,"2.46","2.46","2.46","2.46","72,905"
03/07/1995,"2.46","2.46","2.46","2.46","6,509"
03/08/1995,"2.34","2.38","2.30","2.34","270,789"
03/09/1995,"2.30","2.34","2.30","2.30","390,561"
03/10/1995,"2.27","2.30","2.27","2.27","341,090"
03/14/1995,"2.19","2.19","2.15","2.19","111,961"
03/16/1995,"2.19","2.19","2.19","2.19","52,075"
03/22/1995,"2.27","2.27","2.27","2.27","117,168"
03/23/1995,"2.07","2.23","2.07","2.07","378,844"
03/24/1995,"2.07","2.07","2.07","2.07","1,961,919"
03/28/1995,"2.11","2.11","2.11","2.11","147,111"
03/29/1995,"2.34","2.42","2.19","2.34","1,304,475"
03/30/1995,"2.53","2.65","2.38","2.53","2,670,137"
03/31/1995,"2.53","2.53","2.50","2.53","1,301,871"
04/03/1995,"2.53","2.53","2.53","2.53","675,671"
04/05/1995,"2.61","2.61","2.53","2.61","1,567,453"
04/07/1995,"2.50","2.53","2.42","2.50","1,334,418"
04/11/1995,"2.57","2.61","2.53","2.57","123,678"
04/12/1995,"2.57","2.57","2.57","2.57","1,088,364"
04/18/1995,"2.53","2.53","2.53","2.53","429,617"
04/19/1995,"2.53","2.53","2.53","2.53","847,518"
04/21/1995,"2.46","2.53","2.46","2.46","874,857"
04/25/1995,"2.30","2.30","2.30","2.30","268,185"
04/26/1995,"2.53","2.53","2.50","2.53","844,914"
04/28/1995,"2.50","2.50","2.50","2.50","305,940"
05/02/1995,"2.50","2.50","2.46","2.50","4,609,925"
05/03/1995,"2.50","2.50","2.50","2.50","2,545,158"
05/04/1995,"2.53","2.53","2.46","2.53","1,184,703"
05/05/1995,"2.77","2.80","2.57","2.77","10,301,704"
