Date,Open,High,Low,Close,Volume
11/11/2013,"56.00","57.30","53.60","56.50","32,673,051"
11/12/2013,"57.05","59.00","57.05","59.00","20,931,779"
11/13/2013,"59.00","60.50","59.00","59.90","17,332,279"
11/14/2013,"60.00","60.20","59.00","59.60","3,594,170"
11/15/2013,"59.60","60.00","58.70","58.70","4,308,570"
11/18/2013,"59.00","59.95","58.20","58.95","3,386,230"
11/19/2013,"58.95","59.70","58.60","59.50","7,624,650"
11/20/2013,"59.00","59.00","58.00","58.10","7,972,690"
11/21/2013,"58.20","58.50","57.80","57.95","8,987,600"
11/22/2013,"57.80","57.95","57.80","57.85","5,292,020"
11/25/2013,"57.85","57.90","57.65","57.65","2,440,350"
11/26/2013,"57.70","58.05","57.65","58.00","7,528,060"
11/27/2013,"58.00","58.05","57.20","57.20","5,299,040"
11/28/2013,"57.20","57.20","57.00","57.10","1,029,300"
11/29/2013,"57.10","57.10","55.50","56.15","2,760,400"
12/02/2013,"56.10","56.15","55.75","56.00","1,582,960"
12/03/2013,"56.00","56.50","55.95","56.50","2,442,880"
12/04/2013,"56.20","56.55","55.80","55.80","1,463,560"
12/05/2013,"55.80","55.80","54.00","55.20","3,687,920"
12/06/2013,"55.00","55.15","54.85","55.00","1,413,860"
12/09/2013,"54.90","55.00","54.90","54.95","637,400"
12/10/2013,"55.00","55.00","54.90","54.95","3,946,410"
12/11/2013,"55.00","55.00","54.00","54.00","1,888,310"
12/12/2013,"53.90","53.90","50.00","50.00","1,756,300"
12/13/2013,"50.00","50.90","48.00","50.10","8,279,530"
12/16/2013,"50.00","52.80","49.80","51.00","5,708,260"
12/17/2013,"51.30","52.80","51.30","52.50","5,616,030"
12/18/2013,"52.55","54.95","52.40","53.70","783,040"
12/19/2013,"55.00","58.00","54.25","57.30","1,070,250"
12/20/2013,"57.00","57.00","55.00","56.95","1,788,070"
12/23/2013,"56.95","56.95","56.95","56.95","50,100"
12/26/2013,"56.95","56.95","55.05","56.90","201,910"
12/27/2013,"56.90","57.00","55.10","55.20","190,980"
01/02/2014,"57.20","58.45","57.20","58.00","836,140"
01/03/2014,"58.00","58.50","58.00","58.10","992,050"
01/06/2014,"58.10","59.00","58.00","58.10","3,895,140"
01/07/2014,"58.10","58.35","57.95","58.00","709,780"
01/08/2014,"58.00","58.20","58.00","58.10","455,450"
01/09/2014,"58.10","58.10","57.95","58.00","982,770"
01/10/2014,"58.00","58.00","57.70","58.00","365,500"
01/13/2014,"57.75","58.00","57.50","58.00","378,260"
01/14/2014,"58.25","58.25","57.00","58.00","303,240"
01/15/2014,"58.00","60.20","58.00","58.20","1,288,030"
01/16/2014,"57.50","58.00","57.50","58.00","48,830"
01/17/2014,"58.00","58.25","58.00","58.25","28,070"
01/20/2014,"58.00","58.00","57.10","57.10","388,630"
01/21/2014,"56.60","57.10","56.45","57.05","1,182,990"
01/22/2014,"57.10","58.50","57.10","58.00","2,418,250"
01/23/2014,"58.15","59.00","58.15","58.30","1,204,500"
01/24/2014,"57.70","58.70","57.65","58.30","235,190"
01/27/2014,"58.20","59.00","58.00","58.85","1,225,730"
01/28/2014,"58.80","58.80","58.10","58.30","278,980"
01/29/2014,"58.60","60.50","58.60","59.85","3,166,100"
01/30/2014,"59.80","59.80","59.10","59.50","2,668,660"
02/03/2014,"59.50","59.50","58.95","58.95","2,426,930"
02/04/2014,"58.90","58.90","57.00","57.95","1,540,690"
02/05/2014,"58.50","58.50","57.05","57.60","2,486,290"
02/06/2014,"57.60","57.70","57.40","57.60","3,953,430"
02/07/2014,"57.70","59.00","57.70","59.00","3,049,000"
02/10/2014,"59.00","64.50","59.00","64.00","1,691,460"
02/11/2014,"64.15","67.00","63.95","64.00","4,495,260"
02/12/2014,"65.20","67.00","62.10","62.10","1,762,480"
02/13/2014,"62.00","62.50","61.60","61.70","626,210"
02/14/2014,"62.90","64.00","61.75","62.00","3,922,220"
02/17/2014,"63.30","63.80","62.05","62.10","684,010"
02/18/2014,"62.20","63.50","62.00","62.50","403,560"
02/19/2014,"63.00","63.25","62.50","62.60","889,960"
02/20/2014,"63.20","64.50","63.20","63.50","1,182,270"
02/21/2014,"63.45","63.90","63.00","63.30","314,720"
02/24/2014,"63.60","63.75","63.10","63.20","875,800"
02/25/2014,"62.20","63.40","62.00","63.20","2,469,220"
02/26/2014,"62.10","63.20","62.10","63.20","4,368,100"
02/27/2014,"63.50","64.10","63.00","63.70","1,103,790"
02/28/2014,"64.75","67.50","64.75","66.85","2,343,660"
03/03/2014,"66.80","66.90","65.35","66.15","1,629,830"
03/04/2014,"66.10","67.00","65.05","67.00","5,071,240"
03/05/2014,"67.00","69.95","67.00","68.80","3,631,040"
03/06/2014,"68.80","69.45","68.05","68.30","1,259,590"
03/07/2014,"68.50","68.50","68.00","68.40","1,438,140"
