Date,Open,High,Low,Close,Volume
09/12/1995,"15.02","15.02","15.02","15.02","782,208"
09/13/1995,"15.02","15.02","15.02","15.02","1,100,590"
09/14/1995,"14.86","14.86","14.86","14.86","176,772"
09/15/1995,"15.33","15.33","15.33","15.33","541,504"
09/18/1995,"15.64","15.64","15.64","15.64","759,193"
09/19/1995,"16.58","16.58","16.58","16.58","6,238,806"
09/22/1995,"16.89","16.89","16.67","16.89","2,920,734"
09/25/1995,"16.74","16.89","16.67","16.74","465,745"
09/26/1995,"16.11","16.89","16.11","16.11","304,956"
09/27/1995,"15.80","16.89","15.80","15.80","333,086"
09/28/1995,"15.95","16.89","15.95","15.95","79,915"
09/29/1995,"15.64","16.89","15.64","15.64","291,850"
10/02/1995,"15.80","16.89","15.80","15.80","141,290"
10/03/1995,"15.80","16.89","15.80","15.80","327,652"
10/04/1995,"15.80","16.89","15.80","15.80","141,929"
10/06/1995,"15.64","16.89","15.64","15.64","188,919"
10/09/1995,"15.33","16.89","15.33","15.33","1,598"
10/10/1995,"15.17","16.89","15.17","15.17","159,510"
10/11/1995,"15.17","16.89","15.17","15.17","168,461"
10/12/1995,"15.49","16.89","15.49","15.49","33,884"
10/13/1995,"15.49","16.89","15.49","15.49","89,185"
10/16/1995,"15.49","16.89","15.49","15.49","247,097"
10/17/1995,"15.49","16.89","15.49","15.49","551,094"
10/18/1995,"15.17","16.89","15.17","15.17","200,107"
10/19/1995,"15.17","16.89","15.17","15.17","251,572"
10/20/1995,"15.17","16.89","15.17","15.17","263,720"
10/24/1995,"15.17","16.89","15.17","15.17","101,972"
10/25/1995,"15.02","16.89","15.02","15.02","351,946"
10/26/1995,"15.02","16.89","15.02","15.02","137,454"
10/27/1995,"15.02","16.89","15.02","15.02","105,807"
10/30/1995,"15.02","16.89","15.02","15.02","199,468"
10/31/1995,"15.02","15.02","14.86","15.02","103,250"
11/02/1995,"14.86","15.02","14.86","14.86","194,353"
11/06/1995,"15.02","15.02","14.39","15.02","139,691"
11/08/1995,"14.86","15.02","14.86","14.86","220,565"
11/09/1995,"15.17","15.17","14.86","15.17","626,214"
11/13/1995,"14.86","14.86","14.70","14.86","1,168,038"
11/14/1995,"14.86","14.86","14.39","14.86","458,393"
11/15/1995,"14.39","14.55","14.39","14.39","199,148"
11/16/1995,"14.08","14.08","13.92","14.08","154,715"
11/17/1995,"14.70","14.70","13.76","14.70","844,222"
11/20/1995,"14.08","14.08","13.76","14.08","119,553"
11/21/1995,"14.08","14.08","13.92","14.08","626,853"
11/22/1995,"14.55","14.55","14.08","14.55","405,329"
11/23/1995,"14.08","14.08","13.92","14.08","331,168"
11/24/1995,"13.92","13.92","13.76","13.92","417,156"
11/27/1995,"14.08","14.08","13.92","14.08","15,983"
11/28/1995,"13.92","14.08","13.92","13.92","299,522"
11/29/1995,"14.08","14.08","13.92","14.08","224,401"
12/01/1995,"14.08","14.08","13.92","14.08","25,573"
12/04/1995,"14.23","14.23","14.08","14.23","490,039"
12/05/1995,"14.08","14.23","14.08","14.08","613,428"
12/06/1995,"14.08","14.23","14.08","14.08","712,203"
12/07/1995,"13.92","14.23","13.92","13.92","516,890"
12/08/1995,"14.23","14.23","13.92","14.23","222,483"
12/11/1995,"14.08","14.23","13.92","14.08","298,243"
12/12/1995,"14.08","14.08","13.92","14.08","745,128"
12/13/1995,"14.39","14.55","14.08","14.39","1,055,837"
12/14/1995,"14.70","15.02","14.39","14.70","916,785"
12/15/1995,"15.02","15.17","14.55","15.02","1,041,772"
12/18/1995,"15.02","15.17","15.02","15.02","675,761"
12/19/1995,"15.02","15.02","14.86","15.02","1,809,915"
12/20/1995,"15.17","15.33","15.17","15.17","497,391"
12/21/1995,"15.02","15.33","14.86","15.02","168,461"
12/22/1995,"14.70","15.02","14.70","14.70","366,970"
12/26/1995,"14.55","14.55","14.55","14.55","16,622"
12/27/1995,"14.39","14.70","14.39","14.39","173,575"
12/28/1995,"14.55","14.55","14.39","14.55","684,392"
12/29/1995,"14.86","14.86","14.55","14.86","324,775"
01/02/1996,"14.39","14.39","14.39","14.39","51,146"
01/03/1996,"14.55","14.55","14.55","14.55","69,047"
01/04/1996,"14.70","15.17","14.55","14.70","278,104"
01/05/1996,"15.02","15.02","14.70","15.02","230,475"
01/08/1996,"15.17","15.17","15.02","15.17","206,500"
01/09/1996,"14.86","15.02","14.86","14.86","174,854"
01/10/1996,"14.55","14.86","14.55","14.55","124,987"
01/11/1996,"14.70","14.70","14.70","14.70","263,400"
01/12/1996,"15.17","15.17","14.70","15.17","809,699"
01/15/1996,"15.80","15.80","15.49","15.80","1,041,453"
01/16/1996,"15.49","15.95","15.49","15.49","333,405"
01/17/1996,"15.49","15.49","15.33","15.49","1,514,550"
01/18/1996,"15.49","15.49","15.33","15.49","605,117"
01/19/1996,"15.17","15.33","15.17","15.17","75,759"
01/22/1996,"15.80","15.80","15.17","15.80","615,346"
01/23/1996,"16.11","16.11","15.64","16.11","1,100,590"
01/24/1996,"15.80","16.11","15.64","15.80","295,366"
01/25/1996,"15.49","15.64","15.49","15.49","166,543"
01/26/1996,"15.64","15.64","15.49","15.64","328,930"
01/29/1996,"15.64","15.80","15.64","15.64","2,896,120"
01/30/1996,"16.27","16.27","15.80","16.27","1,400,751"
01/31/1996,"16.27","16.42","16.11","16.27","1,217,585"
02/01/1996,"16.58","16.74","16.27","16.58","1,779,548"
02/02/1996,"16.58","16.58","16.27","16.58","1,667,027"
02/05/1996,"16.11","16.42","15.95","16.11","1,866,815"
