Date,Open,High,Low,Close,Volume
01/03/1995,"43.99","44.22","43.99","43.99","190,313"
01/04/1995,"44.22","44.22","43.99","44.22","272,203"
01/05/1995,"43.99","44.22","43.99","43.99","468,625"
01/06/1995,"44.22","44.46","43.99","44.22","810,884"
01/10/1995,"43.99","44.27","43.75","43.99","605,299"
01/13/1995,"43.75","43.99","43.51","43.75","1,414,656"
01/16/1995,"42.80","43.75","42.57","42.80","1,403,012"
01/17/1995,"43.51","43.75","42.80","43.51","2,172,855"
01/18/1995,"43.51","43.75","43.51","43.51","1,099,885"
01/19/1995,"43.75","43.99","43.75","43.75","1,131,763"
01/23/1995,"43.04","43.51","42.09","43.04","365,738"
01/24/1995,"43.04","43.04","42.57","43.04","1,162,496"
01/25/1995,"43.28","43.51","43.04","43.28","824,818"
01/26/1995,"43.75","43.75","43.51","43.75","1,036,511"
01/27/1995,"43.51","43.51","43.28","43.51","1,010,550"
01/30/1995,"43.75","43.75","43.28","43.75","734,911"
02/01/1995,"43.75","43.99","43.51","43.75","52,112"
02/02/1995,"43.04","43.51","43.04","43.04","416,131"
02/03/1995,"43.28","43.28","43.04","43.28","694,443"
02/06/1995,"43.51","43.75","43.04","43.51","619,234"
02/07/1995,"43.51","43.75","43.28","43.51","267,622"
02/08/1995,"43.04","43.51","43.04","43.04","255,024"
02/09/1995,"43.04","43.28","43.04","43.04","217,801"
02/10/1995,"43.75","43.75","43.28","43.75","449,346"
02/14/1995,"45.40","45.88","43.99","45.40","1,671,398"
02/15/1995,"45.17","46.11","44.22","45.17","3,392,616"
02/16/1995,"44.69","44.93","44.69","44.69","3,254,415"
02/17/1995,"44.46","44.69","44.22","44.46","468,434"
02/20/1995,"44.22","44.46","43.99","44.22","687,380"
02/21/1995,"44.22","44.46","43.99","44.22","613,889"
02/22/1995,"44.22","44.46","44.22","44.22","423,003"
02/23/1995,"44.22","44.22","43.99","44.22","725,367"
02/24/1995,"44.69","45.17","44.22","44.69","2,700,464"
02/27/1995,"43.51","44.22","43.04","43.51","890,292"
02/28/1995,"43.75","43.99","43.51","43.75","695,016"
03/01/1995,"43.28","43.75","43.04","43.28","900,027"
03/02/1995,"43.28","43.51","43.04","43.28","313,053"
03/06/1995,"43.28","43.51","43.04","43.28","896,782"
03/07/1995,"43.28","43.51","43.04","43.28","346,649"
03/08/1995,"42.57","43.04","42.33","42.57","330,042"
03/09/1995,"41.62","42.80","41.62","41.62","420,140"
03/10/1995,"40.67","41.86","40.67","40.67","591,747"
03/14/1995,"40.44","41.15","40.44","40.44","745,028"
03/15/1995,"40.20","40.67","39.73","40.20","484,659"
03/16/1995,"40.20","40.44","39.97","40.20","343,213"
03/20/1995,"40.20","40.67","39.97","40.20","403,342"
03/22/1995,"39.97","40.20","39.97","39.97","245,479"
03/23/1995,"39.97","40.20","39.73","39.97","308,663"
03/24/1995,"39.73","39.97","39.73","39.73","223,718"
03/28/1995,"39.73","39.73","39.49","39.73","324,697"
03/29/1995,"39.97","40.20","39.97","39.97","453,163"
03/30/1995,"40.20","40.67","40.20","40.20","550,515"
03/31/1995,"40.20","40.20","39.73","40.20","594,037"
04/03/1995,"40.20","40.67","40.20","40.20","285,375"
04/04/1995,"40.20","40.20","39.97","40.20","461,753"
04/05/1995,"40.44","40.44","40.20","40.44","168,361"
04/07/1995,"40.91","41.38","40.91","40.91","404,487"
04/10/1995,"41.86","41.86","40.91","41.86","500,885"
04/11/1995,"42.33","42.33","41.86","42.33","542,307"
04/12/1995,"42.33","42.33","41.86","42.33","518,446"
04/18/1995,"42.57","42.57","41.86","42.57","579,721"
04/19/1995,"42.33","42.57","42.09","42.33","339,395"
04/24/1995,"43.35","43.96","43.04","43.35","278,987"
04/25/1995,"42.73","43.35","42.42","42.73","386,764"
04/26/1995,"42.42","42.73","42.42","42.42","288,091"
04/27/1995,"42.12","42.42","42.12","42.12","285,301"
04/28/1995,"41.50","42.12","41.50","41.50","379,716"
05/02/1995,"41.50","41.81","41.50","41.50","226,714"
05/03/1995,"41.81","41.81","41.50","41.81","301,747"
