Date,Open,High,Low,Close,Volume
01/03/1995,"3.28","3.36","3.28","3.28","5,525,812"
01/04/1995,"3.24","3.28","3.24","3.24","6,337,500"
01/05/1995,"3.28","3.28","3.24","3.28","2,632,500"
01/06/1995,"3.41","3.49","3.28","3.41","21,798,562"
01/09/1995,"3.32","3.41","3.28","3.32","1,747,687"
01/10/1995,"3.28","3.28","3.16","3.28","14,300,812"
01/11/1995,"3.20","3.28","3.20","3.20","23,378,062"
01/13/1995,"2.91","3.20","2.87","2.91","40,123,687"
01/16/1995,"2.99","2.99","2.91","2.99","15,090,562"
01/17/1995,"3.08","3.08","3.04","3.08","16,550,625"
01/18/1995,"3.12","3.12","2.99","3.12","15,712,125"
01/23/1995,"2.87","2.99","2.83","2.87","14,781,000"
01/24/1995,"2.83","2.87","2.75","2.83","6,876,187"
01/25/1995,"2.87","2.87","2.75","2.87","19,005,187"
01/26/1995,"2.87","2.91","2.87","2.87","12,214,312"
01/27/1995,"2.83","2.91","2.79","2.83","6,196,125"
01/30/1995,"2.83","2.83","2.79","2.83","5,518,500"
02/01/1995,"2.91","2.91","2.83","2.91","6,220,500"
02/02/1995,"2.91","2.95","2.87","2.91","2,069,437"
02/03/1995,"3.04","3.04","2.91","3.04","5,545,312"
02/07/1995,"3.12","3.12","3.08","3.12","6,651,937"
02/08/1995,"3.12","3.16","3.08","3.12","6,725,062"
02/10/1995,"3.20","3.24","3.08","3.20","9,993,750"
02/14/1995,"3.16","3.20","3.08","3.16","6,842,062"
02/15/1995,"2.99","3.08","2.95","2.99","6,595,875"
02/16/1995,"3.08","3.12","3.08","3.08","6,415,500"
02/17/1995,"3.12","3.16","3.04","3.12","15,156,375"
02/20/1995,"3.12","3.16","3.08","3.12","2,973,750"
02/21/1995,"3.20","3.20","3.12","3.20","9,026,062"
02/22/1995,"3.16","3.20","3.16","3.16","12,163,125"
02/24/1995,"3.20","3.20","3.12","3.20","5,574,562"
02/27/1995,"3.08","3.08","2.91","3.08","4,060,875"
02/28/1995,"3.12","3.12","3.04","3.12","12,387,375"
03/01/1995,"3.04","3.16","3.04","3.04","15,648,750"
03/02/1995,"3.12","3.12","3.04","3.12","14,941,875"
03/06/1995,"3.04","3.12","3.04","3.04","10,729,875"
03/07/1995,"3.08","3.08","3.08","3.08","1,811,062"
03/08/1995,"3.08","3.08","2.99","3.08","6,196,125"
03/09/1995,"2.99","3.08","2.95","2.99","8,463,000"
03/10/1995,"2.83","2.87","2.83","2.83","20,345,812"
03/14/1995,"2.79","2.99","2.79","2.79","21,506,062"
03/20/1995,"2.95","2.99","2.95","2.95","1,294,312"
03/22/1995,"2.99","2.99","2.95","2.99","2,313,187"
03/23/1995,"2.95","2.95","2.91","2.95","6,035,250"
03/24/1995,"2.99","2.99","2.91","2.99","9,367,312"
03/28/1995,"2.99","2.99","2.91","2.99","1,430,812"
03/29/1995,"3.04","3.04","2.95","3.04","15,473,250"
03/30/1995,"3.08","3.12","2.99","3.08","9,615,937"
03/31/1995,"3.20","3.24","3.08","3.20","17,940,000"
04/03/1995,"3.20","3.20","3.12","3.20","7,597,687"
04/04/1995,"3.20","3.20","3.20","3.20","12,224,062"
04/05/1995,"3.16","3.20","3.16","3.16","9,345,375"
04/07/1995,"3.16","3.16","3.12","3.16","3,787,875"
04/10/1995,"3.20","3.20","3.16","3.20","2,595,937"
04/12/1995,"3.16","3.20","3.16","3.16","4,377,750"
04/18/1995,"3.24","3.32","3.16","3.24","7,909,687"
04/19/1995,"3.24","3.28","3.24","3.24","9,530,625"
04/21/1995,"3.32","3.36","3.28","3.32","4,270,500"
04/25/1995,"3.16","3.24","3.16","3.16","5,842,687"
04/26/1995,"3.28","3.28","3.20","3.28","8,421,562"
04/27/1995,"3.28","3.28","3.24","3.28","16,665,187"
04/28/1995,"3.24","3.24","3.24","3.24","19,612,125"
05/02/1995,"3.28","3.32","3.24","3.28","18,617,625"
05/03/1995,"3.32","3.36","3.28","3.32","7,705,132"
05/04/1995,"3.32","3.32","3.28","3.32","8,672,625"
05/05/1995,"3.41","3.41","3.32","3.41","9,435,562"
05/15/1995,"3.61","3.69","3.61","3.61","4,855,500"
05/16/1995,"3.73","3.90","3.65","3.73","40,028,624"
05/17/1995,"3.69","3.73","3.65","3.69","11,339,250"
05/18/1995,"3.69","3.69","3.65","3.69","3,115,125"
05/19/1995,"3.65","3.69","3.57","3.65","14,727,375"
05/30/1995,"3.61","3.65","3.57","3.61","6,988,312"
06/05/1995,"3.77","3.77","3.61","3.77","10,783,500"
06/06/1995,"3.82","3.86","3.77","3.82","9,598,875"
06/13/1995,"3.79","3.79","3.73","3.79","7,387,500"
06/20/1995,"4.11","4.11","3.89","4.11","10,091,250"
06/23/1995,"4.00","4.00","3.95","4.00","4,012,500"
06/26/1995,"3.89","3.95","3.84","3.89","5,838,750"
06/27/1995,"3.79","3.84","3.79","3.79","1,136,250"
06/28/1995,"3.79","3.79","3.79","3.79","1,078,125"
09/12/1995,"4.21","4.27","4.21","4.21","3,763,125"
09/13/1995,"4.32","4.32","4.27","4.32","7,344,375"
09/14/1995,"4.43","4.43","4.32","4.43","6,247,500"
09/15/1995,"4.48","4.48","4.43","4.48","3,005,625"
09/18/1995,"4.37","4.48","4.37","4.37","6,511,875"
09/19/1995,"4.32","4.37","4.32","4.32","2,475,000"
09/22/1995,"4.32","4.32","4.27","4.32","3,180,000"
09/25/1995,"4.32","4.32","4.27","4.32","2,201,250"
09/26/1995,"4.27","4.32","4.21","4.27","6,176,250"
09/27/1995,"4.21","4.27","4.16","4.21","1,689,375"
09/28/1995,"4.21","4.27","4.16","4.21","3,720,000"
09/29/1995,"4.16","4.21","4.16","4.16","5,375,625"
10/02/1995,"4.16","4.21","4.16","4.16","6,204,375"
10/03/1995,"4.16","4.16","4.16","4.16","1,224,375"
10/04/1995,"4.00","4.11","4.00","4.00","10,968,750"
10/05/1995,"4.05","4.16","3.95","4.05","32,660,625"
10/06/1995,"4.11","4.16","4.11","4.11","6,440,625"
10/10/1995,"4.00","4.05","3.95","4.00","8,285,625"
10/11/1995,"4.00","4.00","3.95","4.00","4,132,500"
10/12/1995,"4.00","4.00","3.95","4.00","9,316,875"
10/13/1995,"4.00","4.00","3.95","4.00","4,948,125"
10/16/1995,"4.05","4.05","3.95","4.05","9,817,500"
10/17/1995,"4.05","4.11","4.05","4.05","10,183,125"
10/18/1995,"4.11","4.16","4.11","4.11","2,655,000"
10/19/1995,"4.11","4.11","4.05","4.11","7,871,250"
10/20/1995,"4.11","4.11","4.11","4.11","5,188,125"
10/24/1995,"4.16","4.21","4.16","4.16","2,523,750"
10/25/1995,"4.11","4.16","4.00","4.11","6,804,375"
10/26/1995,"4.00","4.05","4.00","4.00","7,419,375"
10/27/1995,"3.95","3.95","3.89","3.95","6,241,875"
10/30/1995,"3.73","3.89","3.73","3.73","2,533,125"
10/31/1995,"3.73","3.79","3.68","3.73","5,025,000"
11/02/1995,"3.84","3.84","3.73","3.84","2,745,000"
11/07/1995,"3.73","3.79","3.63","3.73","4,972,500"
11/09/1995,"3.73","3.84","3.73","3.73","1,858,125"
11/10/1995,"3.68","3.68","3.63","3.68","4,025,625"
11/13/1995,"3.41","3.68","3.41","3.41","15,624,375"
11/14/1995,"3.52","3.52","3.41","3.52","14,090,625"
11/16/1995,"3.57","3.57","3.47","3.57","2,199,375"
11/17/1995,"3.47","3.52","3.36","3.47","11,077,500"
11/20/1995,"3.31","3.47","3.25","3.31","11,308,125"
11/21/1995,"3.47","3.52","3.41","3.47","6,401,250"
11/22/1995,"3.63","3.73","3.57","3.63","13,498,125"
11/23/1995,"3.68","3.73","3.63","3.68","16,378,125"
11/24/1995,"3.68","3.73","3.68","3.68","7,871,250"
11/27/1995,"3.73","3.79","3.68","3.73","8,205,000"
11/28/1995,"3.84","3.84","3.73","3.84","10,252,500"
11/29/1995,"3.84","3.84","3.79","3.84","5,758,125"
12/01/1995,"3.84","3.84","3.84","3.84","3,950,625"
12/04/1995,"3.95","3.95","3.84","3.95","8,793,750"
12/05/1995,"4.00","4.05","4.00","4.00","8,610,000"
12/06/1995,"4.16","4.16","4.05","4.16","8,021,250"
12/07/1995,"4.11","4.16","4.00","4.11","35,220,000"
12/08/1995,"3.89","4.00","3.89","3.89","3,946,875"
12/11/1995,"3.95","3.95","3.95","3.95","3,022,500"
12/12/1995,"3.89","3.95","3.89","3.89","1,423,125"
12/13/1995,"3.95","3.95","3.89","3.95","5,233,125"
12/14/1995,"4.00","4.11","3.95","4.00","28,396,875"
12/15/1995,"4.00","4.05","4.00","4.00","12,082,500"
12/18/1995,"4.00","4.05","4.00","4.00","3,131,250"
12/19/1995,"3.95","3.95","3.89","3.95","2,893,125"
12/20/1995,"4.00","4.05","4.00","4.00","3,174,375"
12/21/1995,"4.00","4.00","4.00","4.00","10,246,875"
12/22/1995,"4.00","4.00","3.95","4.00","3,798,750"
12/26/1995,"4.05","4.05","4.00","4.05","1,614,375"
12/27/1995,"4.00","4.05","3.95","4.00","3,795,000"
12/28/1995,"3.95","4.00","3.95","3.95","5,034,375"
12/29/1995,"4.00","4.00","3.95","4.00","13,194,375"
01/02/1996,"4.05","4.05","4.00","4.05","3,361,875"
01/03/1996,"4.16","4.16","4.11","4.16","7,738,125"
01/04/1996,"4.43","4.48","4.16","4.43","17,370,000"
01/05/1996,"4.37","4.43","4.27","4.37","8,041,875"
01/08/1996,"4.37","4.37","4.32","4.37","3,598,125"
01/09/1996,"4.21","4.27","4.16","4.21","2,531,250"
01/10/1996,"4.11","4.16","4.11","4.11","2,767,500"
01/11/1996,"4.16","4.21","4.11","4.16","6,174,375"
01/12/1996,"4.27","4.27","4.21","4.27","9,375,000"
01/15/1996,"4.32","4.32","4.21","4.32","8,002,500"
01/16/1996,"4.37","4.43","4.27","4.37","7,807,500"
01/17/1996,"4.37","4.48","4.37","4.37","5,107,500"
01/18/1996,"4.43","4.43","4.32","4.43","5,576,250"
01/19/1996,"4.37","4.37","4.32","4.37","7,809,375"
01/22/1996,"4.37","4.43","4.32","4.37","12,466,875"
01/23/1996,"4.37","4.43","4.32","4.37","14,113,125"
01/24/1996,"4.27","4.37","4.16","4.27","9,090,000"
01/25/1996,"4.43","4.43","4.27","4.43","12,161,250"
01/26/1996,"4.43","4.43","4.37","4.43","10,980,000"
01/29/1996,"4.37","4.43","4.27","4.37","9,881,250"
01/30/1996,"4.27","4.27","4.21","4.27","4,310,625"
01/31/1996,"4.21","4.27","4.21","4.21","8,778,750"
02/01/1996,"4.32","4.32","4.27","4.32","8,218,125"
02/02/1996,"4.37","4.37","4.27","4.37","34,554,375"
02/05/1996,"4.27","4.37","4.27","4.27","9,318,750"
02/06/1996,"4.32","4.32","4.27","4.32","11,259,375"
02/07/1996,"4.32","4.32","4.32","4.32","6,277,500"
02/08/1996,"4.32","4.32","4.27","4.32","4,762,500"
02/09/1996,"4.32","4.37","4.32","4.32","3,720,000"
02/12/1996,"4.48","4.37","4.32","4.48","2,311,875"
02/13/1996,"4.37","4.37","4.32","4.37","5,788,125"
02/14/1996,"4.27","4.37","4.27","4.27","6,763,125"
02/15/1996,"4.32","4.32","4.27","4.32","2,214,375"
02/16/1996,"4.32","4.32","4.27","4.32","1,543,125"
02/19/1996,"4.32","4.32","4.32","4.32","463,125"
02/20/1996,"4.32","4.32","4.32","4.32","804,375"
02/21/1996,"4.27","4.27","4.27","4.27","1,869,375"
02/22/1996,"4.27","4.27","4.21","4.27","8,529,375"
02/23/1996,"4.27","4.32","4.27","4.27","3,275,625"
02/26/1996,"4.16","4.27","4.11","4.16","10,509,375"
02/27/1996,"4.05","4.11","3.95","4.05","11,368,125"
02/28/1996,"3.95","4.05","3.95","3.95","6,253,125"
02/29/1996,"4.11","4.11","3.95","4.11","10,374,375"
03/01/1996,"4.37","4.37","4.05","4.37","23,938,125"
03/04/1996,"4.32","4.37","4.27","4.32","14,986,875"
03/05/1996,"4.32","4.43","4.32","4.32","8,715,000"
03/06/1996,"4.32","4.37","4.27","4.32","7,756,875"
03/07/1996,"4.05","4.27","4.00","4.05","13,396,875"
03/08/1996,"4.05","4.11","4.05","4.05","3,825,000"
03/11/1996,"4.05","4.05","3.95","4.05","13,895,625"
03/12/1996,"4.00","4.05","4.00","4.00","5,996,250"
03/13/1996,"3.89","3.95","3.84","3.89","10,164,375"
03/14/1996,"3.89","3.89","3.84","3.89","7,676,250"
03/15/1996,"3.95","3.95","3.89","3.95","4,325,625"
03/18/1996,"4.05","4.11","3.95","4.05","4,138,125"
03/19/1996,"4.11","4.16","4.05","4.11","11,505,000"
03/20/1996,"4.16","4.16","4.05","4.16","3,431,250"
03/21/1996,"4.11","4.16","4.11","4.11","4,674,375"
03/22/1996,"4.00","4.05","4.00","4.00","3,151,875"
03/25/1996,"4.11","4.11","4.00","4.11","5,971,875"
03/26/1996,"4.16","4.16","4.11","4.16","6,288,750"
03/27/1996,"4.16","4.16","4.11","4.16","2,701,875"
03/28/1996,"4.05","4.16","4.05","4.05","9,401,250"
03/29/1996,"4.16","4.16","4.00","4.16","10,224,375"
04/01/1996,"4.32","4.32","4.27","4.32","11,731,875"
04/02/1996,"4.27","4.32","4.27","4.27","10,745,625"
04/03/1996,"4.27","4.32","4.27","4.27","7,546,875"
04/10/1996,"4.32","4.37","4.32","4.32","5,280,000"
04/11/1996,"4.21","4.32","4.21","4.21","8,889,375"
04/12/1996,"4.27","4.32","4.27","4.27","5,026,875"
04/15/1996,"4.21","4.21","4.11","4.21","6,588,750"
04/16/1996,"4.16","4.21","4.11","4.16","12,086,250"
04/17/1996,"4.16","4.21","4.11","4.16","8,752,500"
04/19/1996,"4.11","4.11","4.05","4.11","8,881,875"
04/22/1996,"4.21","4.21","4.16","4.21","4,792,500"
04/23/1996,"4.32","4.37","4.21","4.32","9,905,625"
04/24/1996,"4.21","4.21","4.16","4.21","4,301,250"
04/25/1996,"4.11","4.21","4.05","4.11","3,556,875"
04/26/1996,"4.11","4.21","4.11","4.11","5,983,125"
04/29/1996,"4.05","4.16","4.05","4.05","6,630,000"
04/30/1996,"4.05","4.05","4.00","4.05","4,854,375"
05/02/1996,"4.05","4.05","4.00","4.05","15,247,500"
05/03/1996,"4.05","4.05","4.00","4.05","643,125"
05/07/1996,"4.05","4.11","4.05","4.05","3,498,750"
05/08/1996,"4.11","4.11","4.05","4.11","4,768,125"
05/10/1996,"4.27","4.27","4.21","4.27","11,062,500"
05/13/1996,"4.11","4.21","4.11","4.11","1,867,500"
05/15/1996,"4.16","4.21","4.11","4.16","1,078,125"
05/16/1996,"4.16","4.21","4.16","4.16","54,288,750"
05/17/1996,"4.05","4.11","4.05","4.05","9,549,375"
05/20/1996,"4.11","4.11","4.05","4.11","4,325,625"
05/21/1996,"4.05","4.11","4.05","4.05","9,395,625"
05/22/1996,"4.05","4.11","4.05","4.05","11,139,375"
05/23/1996,"4.03","4.61","4.03","4.03","4,890,625"
05/24/1996,"4.10","4.16","4.10","4.10","4,848,437"
05/27/1996,"4.03","4.10","3.97","4.03","3,054,687"
05/28/1996,"4.03","4.03","3.97","4.03","2,565,625"
05/29/1996,"4.10","4.10","3.97","4.10","9,115,625"
05/30/1996,"4.16","4.22","4.16","4.16","3,917,187"
05/31/1996,"4.10","4.16","4.10","4.10","5,300,000"
06/03/1996,"4.03","4.16","3.97","4.03","2,243,750"
06/04/1996,"3.97","3.97","3.90","3.97","5,012,500"
06/05/1996,"3.97","3.97","3.90","3.97","2,831,250"
06/06/1996,"3.90","3.97","3.90","3.90","8,382,812"
06/10/1996,"4.29","4.42","4.10","4.29","12,812,500"
06/11/1996,"4.10","4.29","4.10","4.10","1,590,625"
06/13/1996,"4.10","4.10","4.10","4.10","8,007,812"
06/14/1996,"4.16","4.16","4.10","4.16","10,379,687"
06/17/1996,"4.10","4.16","4.10","4.10","5,242,187"
06/18/1996,"4.10","4.10","4.03","4.10","2,475,000"
06/19/1996,"4.16","4.35","4.10","4.16","13,351,562"
06/20/1996,"4.22","4.29","4.22","4.22","15,565,625"
06/21/1996,"4.29","4.35","4.22","4.29","7,926,562"
06/24/1996,"4.29","4.29","4.22","4.29","8,373,437"
06/25/1996,"4.29","4.35","4.29","4.29","493,750"
06/26/1996,"4.29","4.35","4.29","4.29","5,457,812"
06/27/1996,"4.29","4.35","4.29","4.29","51,006,248"
06/28/1996,"4.35","4.35","4.29","4.35","8,387,500"
07/01/1996,"4.42","4.48","4.42","4.42","4,096,875"
07/02/1996,"4.48","4.48","4.42","4.48","5,614,062"
07/03/1996,"4.67","4.67","4.48","4.67","17,146,874"
07/05/1996,"4.54","4.61","4.48","4.54","11,404,687"
07/08/1996,"4.48","4.54","4.42","4.48","13,429,687"
07/09/1996,"4.35","4.48","4.35","4.35","7,973,437"
07/10/1996,"4.35","4.42","4.35","4.35","6,014,062"
07/11/1996,"4.35","4.35","4.29","4.35","3,103,125"
07/12/1996,"4.35","4.35","4.29","4.35","1,154,687"
07/15/1996,"4.35","4.35","4.35","4.35","1,929,687"
07/16/1996,"4.29","4.29","4.29","4.29","5,573,437"
07/17/1996,"4.29","4.29","4.29","4.29","8,734,375"
07/18/1996,"4.35","4.35","4.35","4.35","4,392,187"
07/19/1996,"4.35","4.48","4.35","4.35","10,896,875"
07/22/1996,"4.35","4.42","4.29","4.35","10,742,187"
07/23/1996,"4.29","4.35","4.29","4.29","16,112,500"
07/24/1996,"4.29","4.29","4.29","4.29","24,634,374"
07/25/1996,"4.29","4.29","4.22","4.29","11,804,687"
07/26/1996,"4.22","4.22","4.22","4.22","3,537,500"
07/29/1996,"4.16","4.22","4.10","4.16","7,204,687"
07/30/1996,"4.10","4.16","4.10","4.10","4,395,312"
07/31/1996,"4.16","4.16","4.03","4.16","1,675,000"
08/01/1996,"4.22","4.22","4.16","4.22","3,385,937"
08/02/1996,"4.35","4.35","4.29","4.35","2,092,187"
08/05/1996,"4.35","4.42","4.35","4.35","5,509,375"
08/06/1996,"4.16","4.35","4.16","4.16","5,860,937"
08/07/1996,"4.16","4.22","4.16","4.16","8,689,062"
08/08/1996,"4.16","4.22","4.16","4.16","8,873,437"
08/09/1996,"4.16","4.22","4.16","4.16","17,293,749"
08/12/1996,"4.22","4.22","4.16","4.22","739,062"
08/13/1996,"4.16","4.22","4.16","4.16","5,789,062"
08/14/1996,"4.16","4.16","4.10","4.16","2,048,437"
08/15/1996,"4.16","4.16","4.10","4.16","5,018,750"
08/16/1996,"4.16","4.16","4.16","4.16","4,843,750"
08/19/1996,"4.10","4.16","4.10","4.10","959,375"
08/20/1996,"4.10","4.03","4.03","4.10","1,718,750"
08/21/1996,"4.03","4.10","4.03","4.03","3,907,812"
08/22/1996,"4.10","4.10","4.10","4.10","1,067,187"
08/23/1996,"4.10","4.10","4.03","4.10","1,231,250"
08/26/1996,"4.10","4.10","4.03","4.10","892,187"
08/27/1996,"4.10","4.10","4.03","4.10","2,654,687"
08/28/1996,"4.10","4.10","4.03","4.10","6,693,750"
08/29/1996,"4.10","4.10","4.03","4.10","4,917,187"
08/30/1996,"4.03","4.10","3.97","4.03","3,346,875"
09/02/1996,"3.97","4.03","3.97","3.97","6,803,125"
09/03/1996,"3.84","3.97","3.84","3.84","11,075,000"
09/04/1996,"3.84","3.90","3.78","3.84","7,098,437"
09/05/1996,"3.84","3.84","3.78","3.84","3,818,750"
09/06/1996,"3.78","3.84","3.78","3.78","504,687"
09/09/1996,"3.78","3.84","3.78","3.78","4,751,562"
09/10/1996,"3.97","3.97","3.90","3.97","4,062,500"
09/11/1996,"3.97","3.97","3.90","3.97","7,328,125"
09/12/1996,"3.97","3.97","3.97","3.97","6,151,562"
09/13/1996,"3.97","4.03","3.97","3.97","2,570,312"
09/16/1996,"4.03","4.03","3.97","4.03","8,160,937"
09/17/1996,"4.16","4.16","4.03","4.16","3,625,000"
09/18/1996,"4.10","4.16","4.10","4.10","721,875"
09/19/1996,"4.03","4.03","3.97","4.03","4,456,250"
09/20/1996,"3.97","4.03","3.97","3.97","3,510,937"
09/23/1996,"3.97","3.97","3.90","3.97","2,062,500"
09/24/1996,"3.97","3.97","3.90","3.97","4,623,437"
09/25/1996,"3.97","3.97","3.90","3.97","2,162,500"
09/26/1996,"3.90","3.97","3.90","3.90","996,875"
09/27/1996,"3.90","3.97","3.90","3.90","4,203,125"
09/30/1996,"3.90","3.90","3.90","3.90","4,539,062"
10/01/1996,"3.84","3.84","3.84","3.84","10,414,062"
10/02/1996,"3.90","3.90","3.84","3.90","4,212,500"
10/03/1996,"3.78","3.84","3.65","3.78","9,168,750"
10/04/1996,"3.65","3.71","3.58","3.65","9,623,437"
10/07/1996,"3.58","3.58","3.46","3.58","7,028,125"
10/08/1996,"3.33","3.52","3.17","3.33","26,012,499"
10/09/1996,"3.52","3.52","3.26","3.52","9,803,125"
10/10/1996,"3.46","3.52","3.39","3.46","9,000,000"
10/11/1996,"3.39","3.39","3.26","3.39","6,567,187"
10/14/1996,"3.33","3.46","3.26","3.33","3,642,187"
10/15/1996,"3.20","3.33","3.17","3.20","11,240,625"
10/16/1996,"3.46","3.46","3.20","3.46","10,598,437"
10/17/1996,"3.58","3.78","3.52","3.58","26,610,937"
10/18/1996,"3.78","3.84","3.65","3.78","24,032,812"
10/21/1996,"3.65","3.71","3.58","3.65","19,054,687"
10/22/1996,"3.71","3.78","3.71","3.71","16,140,625"
10/23/1996,"3.71","3.78","3.65","3.71","9,959,375"
10/24/1996,"3.71","3.71","3.65","3.71","10,193,750"
