Date,Open,High,Low,Close,Volume
03/22/2005,"126.85","126.85","119.69","123.27","11,934,483"
03/28/2005,"124.80","124.80","116.62","120.20","7,456,373"
03/29/2005,"119.18","119.18","116.62","117.64","7,626,307"
03/30/2005,"116.62","116.62","110.48","110.99","5,015,067"
03/31/2005,"110.99","116.62","110.99","116.62","10,227,459"
04/01/2005,"117.64","118.67","115.60","117.64","1,787,103"
04/04/2005,"118.15","122.76","118.15","121.74","3,648,440"
04/05/2005,"122.25","122.76","120.20","121.22","1,462,133"
04/06/2005,"120.20","127.36","120.20","126.34","4,640,086"
04/07/2005,"126.34","126.34","122.76","126.34","6,143,686"
04/08/2005,"125.83","125.83","123.27","125.32","1,843,546"
04/11/2005,"126.34","126.34","122.25","124.80","3,415,514"
04/12/2005,"124.80","127.87","123.78","127.36","3,021,901"
04/13/2005,"127.36","127.87","126.85","127.87","2,247,149"
04/14/2005,"126.85","127.87","125.83","127.87","2,473,956"
04/15/2005,"126.34","127.36","125.83","126.85","2,117,763"
04/18/2005,"126.85","126.85","124.29","124.80","3,743,984"
04/19/2005,"124.80","125.83","123.78","125.83","5,665,575"
04/20/2005,"125.83","126.85","125.32","126.85","1,689,213"
04/21/2005,"125.83","126.34","124.80","126.34","1,783,994"
04/22/2005,"125.83","126.34","124.29","126.34","2,415,049"
04/25/2005,"125.32","126.34","125.32","126.34","391"
04/26/2005,"125.83","126.34","125.83","126.34","701,027"
04/27/2005,"125.32","126.34","125.32","125.83","563,742"
04/28/2005,"125.83","127.87","125.83","127.87","2,460,407"
04/29/2005,"127.87","127.87","127.36","127.87","2,385,860"
05/03/2005,"127.36","127.36","126.34","126.85","1,682,879"
05/04/2005,"126.85","127.87","126.85","127.87","1,292,707"
05/05/2005,"127.87","127.87","127.36","127.87","932,995"
05/06/2005,"127.87","127.87","127.36","127.87","332,693"
05/09/2005,"127.87","127.87","127.36","127.87","1,272,159"
05/10/2005,"127.87","127.87","127.36","127.87","536,606"
05/11/2005,"127.36","127.87","126.85","127.87","2,159,621"
05/12/2005,"127.36","127.36","126.85","126.85","556,587"
05/13/2005,"126.34","126.85","126.34","126.85","2,485,745"
05/16/2005,"126.85","126.85","126.34","126.85","1,342,991"
05/17/2005,"126.34","126.85","125.83","126.85","1,682,742"
05/18/2005,"126.34","126.85","125.83","126.85","1,372,825"
05/19/2005,"126.85","126.85","126.34","126.85","1,100,954"
05/20/2005,"126.34","126.85","125.83","126.85","2,426,350"
05/23/2005,"126.34","126.85","126.34","126.85","159,435"
05/24/2005,"126.34","126.85","125.83","126.85","857,627"
05/25/2005,"126.34","126.85","126.34","126.34","1,088,852"
05/26/2005,"126.34","126.85","126.34","126.85","330,601"
05/27/2005,"126.34","127.36","126.34","127.36","4,526,791"
05/30/2005,"126.85","127.87","126.85","127.87","1,169,049"
05/31/2005,"127.36","127.87","127.36","127.87","612,775"
06/01/2005,"127.87","127.87","127.36","127.87","236,954"
06/02/2005,"127.87","129.15","127.87","129.15","3,164,288"
06/03/2005,"129.15","130.43","129.15","130.43","1,981,182"
06/06/2005,"129.15","130.43","129.15","130.43","590,253"
06/07/2005,"130.43","130.43","129.15","130.43","439,967"
06/08/2005,"129.15","130.43","129.15","130.43","710,294"
06/09/2005,"127.36","130.43","126.85","130.43","2,609,754"
06/10/2005,"130.43","130.43","129.15","130.43","1,231,220"
06/14/2005,"129.15","130.43","129.15","130.43","146,200"
06/15/2005,"129.15","130.43","129.15","130.43","213,649"
06/16/2005,"130.43","130.43","129.15","130.43","529,900"
06/17/2005,"129.15","130.43","129.15","130.43","1,104,982"
06/20/2005,"129.15","130.43","129.15","130.43","445,070"
06/21/2005,"129.15","130.43","129.15","130.43","383,564"
06/22/2005,"129.15","130.43","129.15","130.43","116,776"
06/23/2005,"129.15","130.43","129.15","130.43","1,311,964"
06/24/2005,"129.15","130.43","129.15","130.43","423,251"
06/27/2005,"129.15","130.43","129.15","130.43","870,687"
06/28/2005,"129.15","130.43","129.15","130.43","1,505,867"
06/29/2005,"129.15","130.43","129.15","130.43","1,307,995"
06/30/2005,"130.43","130.43","129.15","130.43","1,077,865"
07/01/2005,"129.15","130.43","129.15","130.43","3,447,146"
07/04/2005,"129.15","130.43","126.85","127.36","4,519,009"
07/05/2005,"126.85","130.43","126.85","130.43","6,965,750"
07/06/2005,"129.15","130.43","127.87","130.43","1,200,115"
07/07/2005,"129.15","129.15","126.85","127.36","1,063,769"
07/08/2005,"126.85","126.85","125.32","125.83","308,783"
07/11/2005,"125.32","125.32","122.76","122.76","193,532"
07/12/2005,"122.25","122.25","120.20","120.20","191,518"
07/13/2005,"120.20","120.20","118.15","120.20","1,203,654"
07/14/2005,"120.20","120.20","117.64","118.67","544,172"
07/15/2005,"118.67","122.25","116.62","121.74","5,128,872"
07/18/2005,"121.74","121.74","117.13","117.64","293,748"
07/19/2005,"117.64","117.64","115.09","115.60","132,866"
07/20/2005,"115.60","116.11","113.55","114.06","488,335"
07/21/2005,"113.55","113.55","110.99","112.53","1,171,278"
07/22/2005,"113.04","113.55","110.99","112.53","1,126,761"
07/26/2005,"111.51","112.02","109.97","112.02","1,100,896"
07/27/2005,"112.02","113.04","111.51","113.04","949,026"
07/28/2005,"113.04","113.55","112.53","112.53","508,590"
07/29/2005,"112.53","113.55","110.99","112.02","1,545,477"
08/01/2005,"112.02","112.02","110.99","111.51","322,214"
08/02/2005,"110.99","112.02","110.48","110.99","322,546"
08/03/2005,"112.02","112.02","110.48","110.99","640,537"
08/04/2005,"110.99","111.51","109.97","110.48","2,275,478"
