Date,Open,High,Low,Close,Volume
01/10/1995,"1.100","1.200","1.100","1.100","90,000"
01/13/1995,"1.400","1.400","1.300","1.400","1,080,000"
01/16/1995,"1.400","1.500","1.300","1.400","190,000"
01/17/1995,"1.200","1.400","1.200","1.200","110,000"
01/18/1995,"1.300","1.400","1.300","1.300","40,000"
01/23/1995,"1.200","1.300","1.200","1.200","10,000"
01/24/1995,"1.200","1.300","1.200","1.200","80,000"
01/25/1995,"1.300","1.400","1.200","1.300","100,000"
01/26/1995,"1.300","1.400","1.200","1.300","30,000"
01/27/1995,"1.400","1.500","1.400","1.400","660,000"
01/30/1995,"1.500","1.600","1.500","1.500","420,000"
02/02/1995,"1.700","1.700","1.600","1.700","1,350,000"
02/03/1995,"1.800","1.900","1.800","1.800","627,000"
02/06/1995,"1.800","2.000","1.800","1.800","685,000"
02/07/1995,"1.800","1.900","1.800","1.800","195,000"
02/08/1995,"1.800","2.000","1.800","1.800","380,000"
02/09/1995,"1.800","1.900","1.700","1.800","508,000"
02/14/1995,"1.800","1.900","1.800","1.800","317,000"
02/15/1995,"1.800","2.100","1.800","1.800","386,000"
02/16/1995,"2.300","2.400","2.300","2.300","1,084,000"
02/21/1995,"2.400","2.500","2.400","2.400","430,000"
02/22/1995,"2.400","2.500","2.400","2.400","474,000"
02/24/1995,"2.400","2.500","2.400","2.400","220,000"
02/27/1995,"2.800","3.000","2.800","2.800","196,000"
03/22/1995,"2.000","2.100","1.900","2.000","72,000"
03/23/1995,"2.200","2.200","2.000","2.200","81,000"
03/28/1995,"2.300","2.400","2.200","2.300","77,000"
03/29/1995,"2.300","2.300","2.200","2.300","66,000"
03/30/1995,"2.500","2.600","2.400","2.500","177,000"
03/31/1995,"2.600","2.600","2.500","2.600","175,000"
04/03/1995,"2.600","2.700","2.600","2.600","62,000"
04/04/1995,"2.600","2.700","2.600","2.600","58,000"
04/05/1995,"2.700","2.800","2.700","2.700","7,300"
04/07/1995,"3.200","3.200","3.100","3.200","1,916,000"
04/10/1995,"3.100","3.200","3.100","3.100","583,000"
04/11/1995,"3.200","3.300","3.200","3.200","234,000"
04/12/1995,"3.200","3.300","3.200","3.200","142,000"
04/18/1995,"3.100","3.200","3.100","3.100","323,000"
04/19/1995,"3.200","3.200","3.100","3.200","294,000"
04/21/1995,"3.200","3.300","3.200","3.200","171,000"
04/24/1995,"3.300","3.400","3.300","3.300","370,000"
