Date,Open,High,Low,Close,Volume
01/03/1995,"700.00","700.00","687.50","700.00","30,760"
01/04/1995,"690.00","695.00","687.50","690.00","73,800"
01/05/1995,"677.50","685.00","677.50","677.50","63,300"
01/06/1995,"680.00","680.00","670.00","680.00","46,000"
01/09/1995,"675.00","680.00","675.00","675.00","43,740"
01/10/1995,"637.50","650.00","630.00","637.50","49,120"
01/11/1995,"637.50","640.00","635.00","637.50","99,340"
01/13/1995,"602.50","637.50","600.00","602.50","308,760"
01/16/1995,"617.50","617.50","600.00","617.50","249,420"
01/17/1995,"630.00","635.00","627.50","630.00","167,460"
01/18/1995,"630.00","630.00","625.00","630.00","39,800"
01/19/1995,"637.50","642.50","630.00","637.50","56,740"
01/20/1995,"627.50","630.00","622.50","627.50","137,060"
01/23/1995,"627.50","630.00","622.50","627.50","115,120"
01/24/1995,"622.50","622.50","615.00","622.50","45,140"
01/25/1995,"622.50","622.50","620.00","622.50","104,460"
01/26/1995,"635.00","635.00","627.50","635.00","76,400"
01/27/1995,"632.50","637.50","632.50","632.50","67,840"
01/30/1995,"637.50","640.00","632.50","637.50","73,920"
02/01/1995,"662.50","670.00","642.50","662.50","92,480"
02/02/1995,"665.00","677.50","665.00","665.00","58,860"
02/03/1995,"680.00","680.00","667.50","680.00","53,600"
02/06/1995,"692.50","700.00","690.00","692.50","59,520"
02/07/1995,"722.50","725.00","700.00","722.50","249,700"
02/08/1995,"705.00","727.50","703.00","705.00","50,140"
02/09/1995,"715.00","717.50","705.00","715.00","80,800"
02/10/1995,"737.50","740.00","725.00","737.50","273,020"
02/14/1995,"775.00","777.50","762.50","775.00","228,320"
02/15/1995,"775.00","780.00","765.00","775.00","93,760"
02/16/1995,"772.50","780.00","770.00","772.50","67,560"
02/17/1995,"760.00","762.50","755.00","760.00","112,940"
02/20/1995,"750.00","755.00","745.00","750.00","103,080"
02/21/1995,"750.00","752.50","745.00","750.00","89,620"
02/22/1995,"755.00","757.50","747.50","755.00","51,700"
02/23/1995,"767.50","767.50","755.00","767.50","31,840"
02/24/1995,"777.50","785.00","770.00","777.50","103,520"
02/27/1995,"740.00","750.00","732.50","740.00","124,580"
02/28/1995,"762.50","765.00","742.50","762.50","122,180"
03/01/1995,"757.50","767.50","750.00","757.50","39,816"
03/02/1995,"772.50","777.50","757.50","772.50","171,640"
03/06/1995,"755.00","757.50","755.00","755.00","37,860"
03/07/1995,"752.50","757.50","752.50","752.50","84,180"
03/08/1995,"752.50","755.00","737.50","752.50","72,640"
03/09/1995,"740.00","747.50","735.00","740.00","60,720"
03/10/1995,"722.50","740.00","717.50","722.50","126,520"
03/14/1995,"732.50","745.00","730.00","732.50","101,620"
03/15/1995,"727.50","735.00","725.00","727.50","136,760"
03/16/1995,"730.00","730.00","720.00","730.00","213,820"
03/20/1995,"737.50","762.50","737.50","737.50","69,280"
03/22/1995,"737.50","740.00","732.50","737.50","19,840"
03/23/1995,"727.50","740.00","727.50","727.50","30,720"
03/24/1995,"725.00","727.50","722.50","725.00","66,000"
03/28/1995,"742.50","742.50","735.00","742.50","130,760"
03/29/1995,"755.00","760.00","747.50","755.00","250,500"
03/30/1995,"752.50","757.50","752.50","752.50","123,760"
03/31/1995,"770.00","770.00","752.50","770.00","3,010"
04/03/1995,"770.00","780.00","767.50","770.00","141,440"
04/04/1995,"795.00","797.50","765.00","795.00","297,180"
04/05/1995,"790.00","797.50","785.00","790.00","44,800"
04/07/1995,"822.50","822.50","812.50","822.50","330,380"
04/10/1995,"815.00","820.00","810.00","815.00","92,320"
04/11/1995,"812.50","815.00","810.00","812.50","47,380"
04/12/1995,"815.00","815.00","807.50","815.00","84,000"
04/18/1995,"800.00","802.50","797.50","800.00","79,740"
04/19/1995,"807.50","807.50","797.50","807.50","82,300"
04/21/1995,"840.00","847.50","832.50","840.00","283,820"
04/24/1995,"840.00","850.00","840.00","840.00","133,860"
04/25/1995,"822.50","840.00","822.50","822.50","168,620"
04/26/1995,"822.50","825.00","820.00","822.50","208,740"
04/28/1995,"815.00","820.00","812.50","815.00","134,900"
05/02/1995,"822.50","825.00","815.00","822.50","192,380"
05/03/1995,"822.50","825.00","820.00","822.50","106,980"
05/04/1995,"850.00","850.00","830.00","850.00","362,900"
05/05/1995,"880.00","880.00","862.50","880.00","430,420"
05/15/1995,"907.50","910.00","895.00","907.50","133,000"
05/16/1995,"912.50","915.00","900.00","912.50","309,000"
05/17/1995,"910.00","915.00","910.00","910.00","242,780"
05/18/1995,"905.00","907.50","900.00","905.00","177,020"
05/19/1995,"900.00","900.00","890.00","900.00","131,960"
05/22/1995,"890.00","897.50","887.50","890.00","70,640"
05/26/1995,"937.50","940.00","925.00","937.50","235,640"
05/29/1995,"925.00","927.50","925.00","925.00","142,760"
05/30/1995,"925.00","927.50","925.00","925.00","114,160"
05/31/1995,"920.00","925.00","920.00","920.00","92,680"
06/05/1995,"932.50","932.50","925.00","932.50","75,920"
06/06/1995,"945.00","947.50","942.50","945.00","224,060"
