Date,Open,High,Low,Close,Volume
01/04/1995,"10.19","10.32","10.19","10.19","22,095"
01/05/1995,"10.32","10.32","10.19","10.32","253,124"
01/06/1995,"10.32","10.45","10.19","10.32","153,502"
01/09/1995,"10.32","10.32","10.19","10.32","415,154"
01/10/1995,"10.45","10.45","10.19","10.45","429,496"
01/11/1995,"10.32","10.32","10.32","10.32","8,528"
01/13/1995,"9.80","10.19","9.80","9.80","70,161"
01/16/1995,"9.80","9.80","9.80","9.80","514,000"
01/17/1995,"9.80","10.06","9.80","9.80","24,808"
01/18/1995,"9.93","9.93","9.80","9.93","94,970"
01/19/1995,"9.93","9.93","9.93","9.93","77,526"
01/20/1995,"9.80","9.93","9.80","9.80","147,688"
01/23/1995,"9.55","9.80","9.42","9.55","435,310"
01/24/1995,"9.03","9.55","9.03","9.03","702,776"
01/25/1995,"9.29","9.29","9.16","9.29","615,559"
01/26/1995,"9.29","9.42","9.29","9.29","109,700"
01/27/1995,"9.42","9.55","9.29","9.42","51,555"
01/30/1995,"9.55","9.55","9.55","9.55","127,918"
02/01/1995,"9.67","9.67","9.67","9.67","72,487"
02/02/1995,"9.80","9.80","9.80","9.80","12,017"
02/03/1995,"9.67","9.80","9.67","9.67","58,532"
02/06/1995,"9.67","9.67","9.55","9.67","82,566"
02/07/1995,"9.80","9.80","9.67","9.80","212,810"
02/08/1995,"9.80","9.80","9.67","9.80","33,336"
02/09/1995,"9.67","9.93","9.67","9.67","517,876"
02/10/1995,"9.80","9.80","9.80","9.80","453,917"
02/14/1995,"9.67","9.80","9.67","9.67","658,199"
02/15/1995,"9.80","9.80","9.67","9.80","320,184"
02/16/1995,"9.93","9.93","9.80","9.93","430,659"
02/17/1995,"9.67","9.80","9.67","9.67","396,160"
02/20/1995,"9.67","9.80","9.67","9.67","81,403"
02/21/1995,"9.67","9.80","9.55","9.67","362,048"
02/22/1995,"9.67","9.80","9.67","9.67","290,724"
02/23/1995,"9.67","9.67","9.67","9.67","190,715"
