Date,Open,High,Low,Close,Volume
01/03/1995,"11.69","11.86","11.69","11.69","3,086,549"
01/04/1995,"11.53","11.53","11.36","11.53","726,363"
01/05/1995,"11.53","11.69","11.53","11.53","337,603"
01/06/1995,"11.86","12.52","11.86","11.86","1,582,667"
01/09/1995,"11.86","12.02","11.86","11.86","484,546"
01/10/1995,"11.69","11.86","11.69","11.69","224,057"
01/11/1995,"11.53","11.53","11.36","11.53","1,851,960"
01/13/1995,"10.54","10.54","10.24","10.54","174,874"
01/16/1995,"10.21","10.38","10.21","10.21","554,222"
01/17/1995,"10.54","10.54","10.38","10.54","1,010,988"
01/18/1995,"10.38","10.38","10.21","10.38","771,144"
01/19/1995,"10.38","10.38","10.21","10.38","362,043"
01/23/1995,"10.05","10.05","9.88","10.05","1,451,663"
01/24/1995,"9.22","9.22","9.06","9.22","780,100"
01/25/1995,"9.06","9.06","8.89","9.06","391,948"
01/26/1995,"9.06","9.06","8.89","9.06","3,248,975"
01/27/1995,"9.06","9.22","9.06","9.06","1,433,296"
01/30/1995,"9.72","9.72","9.55","9.72","853,875"
02/01/1995,"9.72","9.88","9.72","9.72","240,603"
02/02/1995,"9.72","9.88","9.72","9.72","885,449"
02/03/1995,"10.21","10.38","10.21","10.21","1,965,810"
02/06/1995,"10.38","10.54","10.21","10.38","3,432,198"
02/07/1995,"10.54","10.70","10.54","10.54","4,437,114"
02/08/1995,"10.38","10.54","10.21","10.38","1,943,799"
02/09/1995,"10.38","10.70","10.38","10.38","173,659"
02/10/1995,"10.05","10.21","9.88","10.05","2,977,102"
02/14/1995,"10.05","10.05","9.88","10.05","120,226"
02/15/1995,"9.72","9.88","9.55","9.72","939,946"
02/16/1995,"9.72","9.88","9.72","9.72","1,244,153"
02/17/1995,"9.72","9.88","9.72","9.72","75,900"
02/20/1995,"9.88","9.88","9.72","9.88","1,316,410"
02/21/1995,"9.88","10.05","9.88","9.88","658,812"
02/22/1995,"10.21","10.21","10.05","10.21","1,120,588"
02/23/1995,"10.21","10.21","9.88","10.21","757,937"
02/24/1995,"9.88","9.88","9.72","9.88","269,749"
02/27/1995,"9.06","9.06","8.89","9.06","483,483"
02/28/1995,"8.89","9.06","8.89","8.89","2,247,399"
03/01/1995,"8.89","8.89","8.74","8.89","3,053,153"
03/02/1995,"8.89","8.89","8.56","8.89","983,057"
03/06/1995,"8.23","8.23","8.07","8.23","3,841,906"
03/07/1995,"8.40","8.40","8.23","8.40","4,072,035"
03/08/1995,"7.74","7.91","7.74","7.74","10,123,087"
03/09/1995,"7.74","7.74","7.58","7.74","2,889,817"
03/10/1995,"7.25","7.41","7.25","7.25","1,423,429"
03/14/1995,"7.74","7.74","7.41","7.74","5,988,510"
03/15/1995,"7.91","8.07","7.91","7.91","5,213,875"
03/16/1995,"8.56","8.73","8.56","8.56","5,735,915"
03/20/1995,"8.89","9.06","8.89","8.89","3,910,065"
03/22/1995,"9.06","9.22","9.06","9.06","1,661,299"
03/23/1995,"9.06","9.22","9.06","9.06","5,832,156"
03/24/1995,"9.06","9.06","8.89","9.06","3,324,572"
03/28/1995,"8.73","8.89","8.73","8.73","1,214,552"
03/29/1995,"9.88","10.05","9.88","9.88","4,944,126"
03/30/1995,"9.72","9.88","9.72","9.72","2,398,288"
03/31/1995,"9.72","9.88","9.72","9.72","905,791"
04/03/1995,"9.72","9.72","9.55","9.72","423,522"
04/04/1995,"9.72","9.88","9.72","9.72","233,772"
04/05/1995,"9.88","10.05","9.88","9.88","776,457"
04/07/1995,"9.88","9.88","9.72","9.88","2,459,464"
04/10/1995,"10.05","10.21","10.05","10.05","2,642,079"
04/11/1995,"9.88","10.05","9.88","9.88","3,218,160"
04/12/1995,"9.88","10.05","9.88","9.88","3,280,398"
04/18/1995,"9.88","10.05","9.88","9.88","878,315"
04/19/1995,"9.88","10.05","9.88","9.88","119,922"
04/21/1995,"9.88","9.88","9.72","9.88","5,201,124"
04/24/1995,"9.88","9.88","9.22","9.88","121,440"
04/25/1995,"9.72","9.88","9.72","9.72","107,930"
04/26/1995,"9.55","9.55","9.39","9.55","1,555,798"
04/27/1995,"9.55","9.72","9.55","9.55","745,945"
04/28/1995,"9.55","9.72","9.55","9.55","59,657"
05/02/1995,"9.72","9.72","9.55","9.72","713,460"
05/03/1995,"9.55","9.72","9.55","9.55","626,934"
05/04/1995,"9.72","9.88","9.72","9.72","807,576"
05/05/1995,"10.05","10.05","9.88","10.05","2,993,648"
05/15/1995,"10.54","10.54","10.38","10.54","1,040,741"
05/16/1995,"10.87","11.59","10.87","10.87","12,899,205"
05/17/1995,"11.03","11.36","11.03","11.03","7,503,322"
05/18/1995,"11.20","11.20","11.03","11.20","1,011,443"
05/19/1995,"11.03","11.20","11.03","11.03","606,441"
05/22/1995,"11.03","11.03","10.87","11.03","1,557,164"
05/26/1995,"11.03","11.20","11.03","11.03","150,282"
05/29/1995,"10.87","11.03","10.87","10.87","186,714"
05/30/1995,"11.20","11.20","11.03","11.20","206,144"
05/31/1995,"11.03","11.03","10.87","11.03","1,409,918"
06/05/1995,"11.26","11.26","11.07","11.26","431,998"
06/06/1995,"11.26","11.26","11.07","11.26","4,117,702"
06/13/1995,"11.07","11.07","10.67","11.07","1,848,418"
06/19/1995,"11.26","11.26","11.07","11.26","77,165"
06/20/1995,"11.26","11.26","11.07","11.26","518,650"
06/26/1995,"10.87","10.87","10.67","10.87","622,127"
06/27/1995,"10.67","10.87","10.67","10.67","170,143"
06/28/1995,"10.87","10.87","10.67","10.87","569,250"
06/29/1995,"10.47","10.47","10.28","10.47","417,830"
06/30/1995,"10.28","10.28","10.08","10.28","296,643"
07/03/1995,"10.28","10.28","10.08","10.28","776,078"
07/04/1995,"10.28","10.28","10.08","10.28","100,821"
07/05/1995,"10.08","10.28","10.08","10.08","516,753"
07/07/1995,"11.07","11.07","10.87","11.07","2,503,815"
07/17/1995,"11.26","11.26","10.87","11.26","618,585"
09/12/1995,"9.49","11.07","9.49","9.49","432,757"
09/13/1995,"9.68","9.88","9.68","9.68","439,841"
09/14/1995,"9.88","9.88","9.68","9.88","1,194,413"
09/15/1995,"9.88","9.88","9.68","9.88","104,995"
09/18/1995,"10.08","10.08","9.68","10.08","4,287,338"
09/19/1995,"10.08","10.08","9.68","10.08","349,140"
09/22/1995,"10.28","10.28","9.68","10.28","1,240,712"
09/25/1995,"10.08","10.08","9.68","10.08","77,798"
09/26/1995,"9.88","9.88","9.68","9.88","225,803"
09/27/1995,"9.68","9.88","9.68","9.68","943,943"
09/28/1995,"9.68","9.88","9.68","9.68","897,771"
09/29/1995,"9.88","9.88","9.68","9.88","822,883"
10/02/1995,"9.88","9.88","9.68","9.88","253"
10/03/1995,"9.88","9.88","9.68","9.88","219,984"
10/04/1995,"9.88","9.88","9.68","9.88","836,924"
10/05/1995,"9.88","9.88","9.68","9.88","52,624"
10/06/1995,"9.88","9.88","9.68","9.88","61,100"
10/09/1995,"9.88","9.88","9.68","9.88","44,275"
10/10/1995,"9.88","9.88","9.68","9.88","1,771"
10/11/1995,"10.08","10.08","9.68","10.08","1,191,883"
10/12/1995,"10.28","10.28","9.68","10.28","296,769"
10/13/1995,"10.28","10.28","9.68","10.28","173,305"
10/16/1995,"10.28","10.28","9.68","10.28","799,733"
10/18/1995,"10.28","10.28","9.68","10.28","844,514"
10/19/1995,"10.28","10.28","9.68","10.28","6,831"
10/20/1995,"10.28","10.28","9.68","10.28","65,274"
10/24/1995,"10.28","10.28","9.68","10.28","54,775"
10/25/1995,"9.29","9.88","9.29","9.29","132,319"
10/26/1995,"9.29","9.88","9.29","9.29","499,675"
10/27/1995,"9.29","9.88","9.29","9.29","47,438"
10/30/1995,"9.17","9.29","9.09","9.17","29,095"
10/31/1995,"8.50","8.50","8.30","8.50","1,087,900"
11/02/1995,"8.50","8.50","8.30","8.50","1,067,787"
11/06/1995,"8.50","8.50","8.30","8.50","54,775"
11/07/1995,"8.70","8.70","8.50","8.70","5,657,333"
11/08/1995,"8.89","9.09","8.89","8.89","751,410"
11/09/1995,"8.89","8.89","8.70","8.89","256,922"
11/10/1995,"8.30","8.50","8.30","8.30","392,656"
11/13/1995,"8.30","8.30","8.10","8.30","109,043"
11/14/1995,"8.30","8.30","8.10","8.30","63,250"
11/15/1995,"8.10","8.30","8.10","8.10","3,588,805"
11/16/1995,"7.91","7.91","7.83","7.91","5,063,163"
11/17/1995,"7.91","7.91","7.83","7.91","1,257,410"
11/20/1995,"7.83","7.91","7.83","7.83","1,401,620"
11/21/1995,"8.30","8.50","8.30","8.30","277,035"
11/22/1995,"8.30","8.50","8.30","8.30","1,066,775"
11/23/1995,"8.89","9.09","8.89","8.89","3,399,435"
11/24/1995,"8.70","8.70","8.50","8.70","2,868,388"
11/27/1995,"8.89","8.89","8.70","8.89","3,395,640"
11/28/1995,"8.70","8.89","8.70","8.70","1,645,386"
11/29/1995,"8.70","8.89","8.70","8.70","2,093,069"
12/01/1995,"8.89","9.09","8.89","8.89","1,896,868"
12/05/1995,"8.89","8.89","8.70","8.89","1,122,435"
12/06/1995,"9.29","9.49","9.29","9.29","2,038,295"
12/07/1995,"9.49","9.49","9.29","9.49","3,084,070"
12/08/1995,"9.29","9.49","9.29","9.29","2,526,711"
12/11/1995,"9.09","9.09","8.89","9.09","75,900"
12/12/1995,"8.70","8.89","8.70","8.70","211,255"
12/13/1995,"8.70","9.09","8.70","8.70","1,687,890"
12/14/1995,"8.89","9.09","8.89","8.89","4,412,826"
12/15/1995,"8.89","9.09","8.89","8.89","797,077"
12/18/1995,"8.89","8.89","8.70","8.89","2,034,120"
12/19/1995,"8.89","9.09","8.89","8.89","1,451,714"
12/20/1995,"9.09","9.29","9.09","9.09","1,413,764"
12/21/1995,"8.89","9.09","8.89","8.89","1,152,795"
12/22/1995,"9.49","9.68","9.49","9.49","809,347"
12/29/1995,"10.28","10.28","10.08","10.28","995,935"
01/03/1996,"10.08","10.28","10.08","10.08","1,323,696"
01/04/1996,"10.67","10.87","10.67","10.67","1,604,273"
01/05/1996,"10.67","10.67","10.47","10.67","1,225,785"
01/08/1996,"10.87","10.87","10.67","10.87","878,416"
01/09/1996,"10.28","10.28","10.08","10.28","708,274"
01/10/1996,"10.08","10.28","10.08","10.08","1,197,070"
01/11/1996,"10.28","10.28","10.08","10.28","2,574,655"
01/12/1996,"11.07","11.07","10.87","11.07","2,362,894"
01/15/1996,"11.86","11.86","11.66","11.86","4,104,166"
01/16/1996,"11.26","11.46","11.26","11.26","4,415,356"
01/17/1996,"11.07","11.07","10.87","11.07","3,064,463"
01/18/1996,"11.07","11.07","10.87","11.07","5,640,762"
01/19/1996,"11.07","11.26","11.07","11.07","1,054,757"
01/22/1996,"11.26","11.46","11.26","11.26","4,806,874"
01/23/1996,"11.46","11.66","11.46","11.46","2,478,894"
01/24/1996,"11.46","11.66","11.46","11.46","5,753,473"
01/25/1996,"11.66","11.86","11.66","11.66","3,745,286"
01/26/1996,"11.66","11.66","11.46","11.66","2,760,610"
01/29/1996,"11.66","11.66","11.46","11.66","4,772,466"
01/30/1996,"11.46","11.46","11.26","11.46","3,833,836"
01/31/1996,"11.46","11.66","11.46","11.46","3,536,940"
02/01/1996,"11.26","11.46","11.26","11.26","1,704,082"
02/02/1996,"11.46","11.46","11.26","11.46","3,572,487"
02/07/1996,"11.66","11.66","11.46","11.66","8,052,358"
02/08/1996,"11.46","11.66","11.46","11.46","1,803,005"
02/09/1996,"11.66","11.66","11.46","11.66","2,030,325"
02/12/1996,"11.66","11.86","11.66","11.66","2,382,248"
02/13/1996,"11.86","12.45","11.86","11.86","5,589,150"
02/14/1996,"12.06","12.06","11.86","12.06","6,549,411"
02/16/1996,"11.86","11.86","11.66","11.86","3,786,145"
02/22/1996,"11.66","11.86","11.66","11.66","2,610,454"
02/23/1996,"11.46","11.66","11.46","11.46","751,790"
02/27/1996,"10.67","10.87","10.67","10.67","2,160,873"
02/28/1996,"10.28","10.47","10.28","10.28","8,189,990"
02/29/1996,"11.07","11.07","10.28","11.07","8,088,663"
03/01/1996,"11.07","11.26","10.87","11.07","2,534,807"
03/04/1996,"11.07","11.07","10.87","11.07","4,221,305"
03/05/1996,"10.87","11.07","10.67","10.87","1,580,238"
03/06/1996,"11.07","11.07","10.87","11.07","2,063,974"
03/07/1996,"11.07","11.26","10.87","11.07","5,584,975"
03/08/1996,"10.67","10.87","10.67","10.67","4,026,875"
03/11/1996,"10.28","10.47","10.08","10.28","5,597,372"
03/12/1996,"10.28","10.47","10.28","10.28","1,634,127"
03/13/1996,"10.08","10.08","10.08","10.08","602,393"
03/14/1996,"10.28","10.28","10.08","10.28","641,229"
03/15/1996,"10.28","10.47","10.28","10.28","267,168"
03/18/1996,"10.67","10.67","10.47","10.67","1,333,437"
03/19/1996,"10.47","10.87","10.28","10.47","822,883"
03/20/1996,"10.28","10.47","10.28","10.28","1,052,480"
03/21/1996,"10.28","10.28","10.28","10.28","1,414,017"
03/22/1996,"10.28","10.28","10.08","10.28","259,325"
03/25/1996,"10.47","10.67","10.28","10.47","851,725"
03/26/1996,"10.47","10.67","10.47","10.47","1,167,848"
03/27/1996,"10.28","10.28","10.28","10.28","1,299,029"
03/28/1996,"10.08","10.28","10.08","10.08","4,293,157"
03/29/1996,"10.08","10.08","9.88","10.08","348,634"
04/01/1996,"10.08","10.08","10.08","10.08","633,006"
04/02/1996,"10.08","10.28","10.08","10.08","911,180"
04/03/1996,"10.08","10.28","9.88","10.08","3,462,811"
04/10/1996,"10.47","10.47","10.28","10.47","4,791,061"
04/11/1996,"10.28","10.47","10.08","10.28","712,575"
04/12/1996,"10.28","10.28","9.88","10.28","1,185,558"
04/15/1996,"10.28","10.28","10.28","10.28","1,214,147"
04/16/1996,"10.47","10.47","10.28","10.47","2,133,549"
04/17/1996,"10.08","10.28","10.08","10.08","2,684,330"
04/18/1996,"9.88","10.08","9.88","9.88","524,343"
04/19/1996,"10.67","10.67","10.08","10.67","3,495,701"
04/22/1996,"10.47","10.67","10.28","10.47","3,295,705"
04/23/1996,"10.47","10.67","10.47","10.47","4,569,180"
04/24/1996,"10.47","10.67","10.47","10.47","2,842,708"
04/25/1996,"10.47","10.47","10.28","10.47","1,435,775"
04/26/1996,"10.67","10.67","10.47","10.67","1,862,080"
04/29/1996,"10.47","10.67","10.47","10.47","2,979,328"
04/30/1996,"10.47","10.67","10.47","10.47","437,437"
05/02/1996,"10.67","10.67","10.47","10.67","1,478,912"
05/03/1996,"10.87","10.87","10.47","10.87","5,248,106"
05/07/1996,"10.87","11.26","10.87","10.87","1,843,738"
05/08/1996,"10.87","11.07","10.87","10.87","11,389,554"
05/09/1996,"11.07","11.07","10.87","11.07","3,964,510"
05/10/1996,"11.46","11.46","11.07","11.46","3,149,091"
05/13/1996,"11.26","11.26","11.07","11.26","3,883,930"
05/14/1996,"11.46","11.66","11.26","11.46","2,257,772"
05/15/1996,"11.66","11.66","11.46","11.66","2,760,230"
05/16/1996,"11.46","11.66","11.46","11.46","3,434,222"
05/17/1996,"11.66","11.66","11.26","11.66","5,002,822"
05/20/1996,"11.86","11.86","11.46","11.86","1,013,139"
05/21/1996,"11.86","11.86","11.66","11.86","2,328,865"
05/22/1996,"11.86","11.86","11.66","11.86","4,061,915"
05/23/1996,"11.07","11.86","11.07","11.07","309,672"
05/24/1996,"10.47","10.87","10.28","10.47","3,458,510"
05/27/1996,"11.07","11.26","10.67","11.07","1,179,739"
